1,American International College,Springfield,Private,Master's,2678,1885,1933
2,Amherst College,Amherst,Private,Baccalaureate,1683,1821,1929
3,Andover Newton Theological School,Newton,Private,Special-focus institution,350,1965,1978
4,Anna Maria College,Paxton,Private,Master's & Baccalaureate,1244,1946,1955
5,Assumption College,Worcester,Private,Master's,2872,1904,1949
6,Babson College,Wellesley,Private,Special-focus institution,3434,1919,1950
7,Bard College at Simon's Rock,Great Barrington,Private,Baccalaureate,403,1964,1973
8,Bay Path College,Longmeadow,Private,Baccalaureate,1603,1897,1965
9,Bay State College,Boston,For-profit,Baccalaureate,354,1946,2008
10,Becker College,Worcester,Private,Baccalaureate,1800,1784,1992
11,Benjamin Franklin Institute of Technology,Boston,Private,Special-focus institution,513,1908,2006
12,Bentley University,Waltham,Private,Master's,5636,1917,1966
13,Berklee College of Music,Boston,Private,Special-focus institution,4090,1945,1973
14,Berkshire Community College,Pittsfield,Public,Associate�s,2267,1960,1964
15,Blessed John XXIII National Seminary,Weston,Private,Special-focus institution,56,1964,--
16,Boston Architectural College,Boston,Private,Special-focus institution,1338,1889,1991
17,Boston Baptist College,Milton,Private,Special-focus institution,153,1976,--
18,Boston College,Chestnut Hill,Private,Research university,14621,1863,1935
19,Boston Conservatory,Boston,Private,Special-focus institution,630,1867,1968
20,Boston Graduate School of Psychoanalysis,Brookline,Private,Special-focus institution,178,1973,1996
21,Boston University,Boston,Private,Research university,32053,1839,1929
22,Brandeis University,Waltham,Private,Research university,5333,1948,1953
23,Bridgewater State University,Bridgewater,Public,Master's,9934,1840,1953
24,Bristol Community College,Fall River,Public,Associate�s,7388,1965,1970
25,Bunker Hill Community College,Boston,Public,Associate�s,8806,1973,1976
26,Cambridge College,Cambridge,Private,Master's,5355,1971,1981
27,Cape Cod Community College,West Barnstable,Public,Associate�s,4299,1961,1967
28,Clark University,Worcester,Private,Research university,3210,1887,1929
29,College of the Holy Cross,Worcester,Private,Baccalaureate,2847,1843,1930
30,Conway School of Landscape Design,Conway,Private,Special-focus institution,19,1972,1989
31,Curry College,Milton,Private,Baccalaureate,3182,1879,1970
32,Dean College,Franklin,Private,Associate's & Bachelor's,1075,1865,1957
33,Eastern Nazarene College,Quincy,Private,Baccalaureate,1075,1900,1943
34,Elms College,Chicopee,Private,Baccalaureate,1258,1928,1942
,College of Our Lady of the Elms,,,,,,
35,Emerson College,Boston,Private,Master's,4380,1880,1950
36,Emmanuel College,Boston,Private,Master's,2467,1919,1933
37,Endicott College,Beverly,Private,Baccalaureate,3710,1939,1952
