Barcode UID,Name,Categories,Number,Bin
806127238,CY8CKIT BLE-Kit ,Microcontrollers,19,1
613887491,USB A to Mini B cable,Cables,25,1
161164760,Arduino Starter Kit,Kits,4,2
877157274,37 Sensor Kit,Kits,9,2
476260842,BeagleBone Black,Microcontrollers,4,2
576351429,Ultrasonic Distance Sensor,Sensors,15,2
491095270,Fingerprint Sensor,Sensors,1,2
1000030,Electric Microphone Breakout,Sensors,6,2
10000007,3.5mm PWM Audio Jack,Sensors,1,2
10000009,Reflectance Sensor,Sensors,3,2
1000031,Motion Sensor small (PIR),Sensors,10,2
10000008,FTDI Friend,Sensors,2,2
554509226,Relay(5V One Channel),Actuators,15,2
154783732,IR BreakBeam Sensor,Sensors,4,2
10000018,Force Sensing Resistor,Sensors,11,2
15079202,IR Distance Sensor,Sensors,10,2
642672028,Electric Lock Style Solenoid,Sensors,1,2
437627771,Pulse Sensors,Sensors,3,2
507137348,USB Bluetooth Module(4.0),Radios,9,2
220846436,Vibrator Motor,Motors,6,2
720136940,ESP 8266 01,Radios,5,2
10000054,Short Flex Sensor,Sensors,6,2
216913854,Long Flex Sensor,Sensors,5,2
21347947,Load Sensor 50kg,Sensors,5,2
87523020,LV-MaxSonar Sensor,Sensors,3,2
671418546,Motion Sensor,Sensors,9,2
W16908-A,Adafruit AHT20 Temp+Humidity Sensor,Sensors,10,2
110000095,Feather 328P,Microcontrollers,15,4
110000002,Feather RP2040,Microcontrollers,14,4
10000004,RFID tags,Sensors,30,4
675176334,ARM (Mbed Application Shield),Sensors,8,4
849756036,Keypad shield for Arduino V2,Sensors,14,4
10000002,Freescale Freedom Platform,Microcontrollers,1,4
10000003,RFIDuino,Sensors,5,4
900959335,NFC+RFID Shield,Sensors,2,4
365742,HiLetGo RFID Kit,Sensors,11,4
581267978,Myo Gesture Control Armband,Sensors,4,5
P2831A,Photo Transistor Light,Sensors,36,5
328810395,Leap Motion,Sensors,5,5
347769704,Sparkfun Pro Micro,Microcontrollers,1,5
698225755,Accelerometer/Gyroscopic Sensor,Sensors,15,2
56000051,HDMI Cable ,Cables,22,6
729453459,Aux Cable,Cables,6,6
729453459,Bag of Aux,Cables,1,6
721508094,HDMI to VGA,Cables,6,6
338801253,VGA Cable,Cables,8,6
4500001,USB C - USB B,Cables,4,7
1000028,Ethernet Cables,Cables,5,7
1000029,USB Serial Debugger,Cables,2,7
716108241,USB A - USB A,Cables,8,7
10000006,USB A - USB B,Cables,23,7
613887491,USB A Male to Mini B,Cables,68,7
134882227,USB A - Micro,Cables,27,7
1000057,Micro HDMI to HDMI,Cables,4,7
53841482,LPCXpresso812-Max Dev Board,Microcontrollers,41,8
778653730,Raspberry Pi 3,Microcontrollers,2,9
56000050,TPlink Wireless Nano USB Adapter,Radios,2,9
596413070,Raspberry Pi 2,Microcontrollers,10,9
410735781,Wi-Fi Nano USB Adapters,Radios,6,9
765756931182,Raspberry Pi 4,Microcontrollers,1,9
1000051,Micro Servo,Motors,40,10
P1325C,Continuous Servo,Motors,2,10
1100053,Motor Drivers - L298N,Actuators,4,10
1000032,"DC Gearbox Motor ""TT Motor"" ",Motors,9,10
454105310,Label Maker,Other,1,11
1000055,2D Barcode Scanner,Other,4,11
675460109,Micro SD Cards With adapters,Other,15,11
unknown,Debugger,Other,2,11
Unknown,Ethernet Featherwing,Other,3,11
unknown,Featherwing tripler,Other,2,11
110000074,Elgoo Arduino Kit,Kits,15,11
DE0 /H0C/I,TerAsic FPGA Board,Microcontrollers,3,11
197504543,Intel Neural Compute Stick,Microcontrollers,2,13
397464010,Intel Edison,Microcontrollers,2,13
1000074,Fox Development Board,Microcontrollers,2,13
10000022,Fox Development Board Connector,Microcontrollers,2,13
10000023,Nucleo-F411RE,Microcontrollers,1,13
110000027,Arduino Mega 2560,Microcontrollers,2,13
714679154,Circuit Playground Express,Microcontrollers,5,13
159147627,Nvidia Jetson TK1,Microcontrollers,1,13
110000025,USB-C HDMI cable,Cables,4,13
110000005,HM-10 Bluetooth Module ,Radios,7,13
,HM-5 Bluetooth Module ,Radios,5,13
X000ZZLUUZ,WS2812B LED Strip,Actuators,2,13
23-002701-02,Fire 7,Other,3,14
LPNRR750266888,Mobile Pixels,Other,3,14
382542894,Small Multimeter,Sensors,9,14
382542894,Digital Multimeter,Sensors,1,14
880743583,Screwdrivers,Other,10,14
561661166,Classic Controller,Sensors,5,16
136632866,Rover Kit,Kits,1,16
201493882,Multi Chassis Kit,Kits,2,16
479848257,Romi Chassis Kit,Kits,4,16
110000073,Mini Round Robot Chasis Kit,Kits,7,16
234783212,Power Adapter (all rasp pi's),Other,5,17
758434818,Raspberry Pi NoIR camera,Sensors,3,17
990565173,PiFace,Microcontrollers,8,17
66679680,"5"" LCD Displays",Actuators,3,17
10000014,L293D Motor Driver,Actuators,18,21
743847638,Sparkfun Camera Module,Sensors,2,21
978966702,Keyboard and mouse combo,Other,3,21
664155563,Sparkfun MicroSD Transflash,Other,34,21
10000016,Battery Enclosure,Other,20,21
124701945,Arduino Motor Shield,Actuators,9,21
10000053,Barrel Jacks,Other,8,21
10000017,2 Ohm Speakers,Actuators,10,21
1000059,Neopixel LED Ring,Actuators,5,21
10000015,9V Battery Connector,Other,20,21
854117632,Analog Joysticks,Sensors,20,21
10000274,LCD Dispalys,Actuators,10,21
65279419,Finch Robot,Motors,1,21
10000010,Breadboards,Other,23,11
110000026,Raspberry Pico,Microcontrollers,6,21
895632742,Arduino Uno,Microcontrollers,22,23
110000021,ESP 8266,Microcontrollers ,8,23
110000023,USB to USB-C,Cables,14,23
1000058,Uno Power Supply,Other,15,24
1203503010,Particle Xenon Iot Development Kit ,Board,11,25
1203503017,Particle Boron LTE Kit,Board,4,25
1203503012,Particle Argon Kit ,Board,4,25
572890984,Photon Kit,Board,3,25
1000050,Particle Debugger ,Board,1,25
